"id,""conducteur_id"",""date_calcul"",""heure_calcul"",""score_valeur"",""niveau_risque"",""nb_fatigue"",""nb_telephone"",""nb_ceinture"",""nb_tabagisme"",""nb_distraction"",""nb_head_pose"",""nb_fcw"",""nb_ldw"",""nb_total"",""vitesse_moyenne"",""ratio_graves"",""timestamp"""
"2,""C10"",""2026-05-11"",""17:58:49.533409"",0.6846,""ELEVE"",9,2,2,0,0,0,0,0,13,50.18,0.8462,""2026-05-11 17:58:49.533409+01"""
"3,""C10"",""2026-05-12"",""07:27:24"",0.5528,""ELEVE"",9,2,2,0,0,0,0,0,13,50.49,0.8462,""2026-05-12 08:27:24.610604+01"""
"4,""C10"",""2026-05-12"",""07:30:53"",0.5528,""ELEVE"",9,2,2,0,0,0,0,0,13,50.49,0.8462,""2026-05-12 08:30:51.894237+01"""
"5,""C10"",""2026-05-12"",""07:31:41"",0.5528,""ELEVE"",9,2,2,0,0,0,0,0,13,50.49,0.8462,""2026-05-12 08:31:41.936745+01"""
"7,""C10"",""2026-05-12"",""09:57:14"",0.5528,""ELEVE"",9,2,2,0,0,0,0,0,13,50.49,0.8462,""2026-05-12 10:57:14.683425+01"""
"8,""C10"",""2026-05-12"",""09:57:46"",0.5528,""ELEVE"",9,2,2,0,0,0,0,0,13,50.49,0.8462,""2026-05-12 10:57:46.78071+01"""
"9,""C10"",""2026-05-12"",""10:54:14.741"",0.6857,""ELEVE"",10,2,2,0,0,0,0,0,14,50.25,0.8571,""2026-05-12 11:54:14.740573+01"""
"10,""C10"",""2026-05-12"",""10:54:20.38"",0.6867,""ELEVE"",11,2,2,0,0,0,0,0,15,50.20,0.8667,""2026-05-12 11:54:20.379757+01"""
"11,""C10"",""2026-05-12"",""10:54:25.932"",0.6813,""ELEVE"",12,2,2,0,0,0,0,0,16,50.50,0.8125,""2026-05-12 11:54:25.932428+01"""
"12,""C10"",""2026-05-12"",""10:54:36.813"",0.6824,""ELEVE"",13,2,2,0,0,0,0,0,17,50.69,0.8235,""2026-05-12 11:54:36.81256+01"""
"13,""C10"",""2026-05-12"",""10:55:03.352"",0.6833,""ELEVE"",14,2,2,0,0,0,0,0,18,51.56,0.8333,""2026-05-12 11:55:03.351745+01"""
"14,""C10"",""2026-05-12"",""10:55:08.809"",0.6789,""ELEVE"",15,2,2,0,0,0,0,0,19,52.37,0.7895,""2026-05-12 11:55:08.809469+01"""
"15,""C10"",""2026-05-12"",""10:55:19.58"",0.6800,""ELEVE"",16,2,2,0,0,0,0,0,20,52.62,0.8000,""2026-05-12 11:55:19.580076+01"""
"16,""C10"",""2026-05-12"",""10:56:21"",0.5750,""ELEVE"",16,2,2,0,0,0,0,0,20,53.19,0.8000,""2026-05-12 11:56:21.626672+01"""
